id_pedido,data,nome_cliente,email_cliente,valor,cidade
PD-00051,2023-02-03,Carla Iglesias,carla.iglesias73@exemplo.test,213.40,São Paulo
PD-00052,2024-02-12,Gabriela Esteves,gabriela.esteves92@exemplo.test,108.38,Campinas
PD-00053,2024-07-07,Tatiane Hirata,tatiane.hirata50@exemplo.test,369.49,Jundiaí
PD-00054,2023-02-24,Elisa Cardoso,elisa.cardoso45@exemplo.test,130.55,Campinas
PD-00055,2024-02-11,Carla Lacerda,carla.lacerda79@exemplo.test,822.41,São Paulo
PD-00056,2024-07-20,Isabela Queiroz,isabela.queiroz46@exemplo.test,414.55,Campinas
PD-00057,2023-10-30,Tatiane Nogueira,nao-informado@aurora.invalid,847.31,Jundiaí
PD-00058,2024-01-25,Carla Cardoso,nao-informado@aurora.invalid,758.81,Campinas
PD-00059,2023-01-06,Mariana Lacerda,mariana.lacerda12@exemplo.test,345.56,Osasco
PD-00060,2023-07-11,Isabela Duarte,nao-informado@aurora.invalid,471.57,Sorocaba
PD-00061,2023-04-02,Samuel Pacheco,nao-informado@aurora.invalid,392.70,São Paulo
PD-00062,2023-10-26,Vinícius Lacerda,vinicius.lacerda2@exemplo.test,453.49,São Paulo
PD-00063,2024-01-25,Samuel Hirata,samuel.hirata22@exemplo.test,203.17,Osasco
PD-00064,2023-06-21,João Iglesias,joao.iglesias9@exemplo.test,475.35,Santos
PD-00065,2023-09-15,João Rezende,joao.rezende47@exemplo.test,282.92,Jundiaí
PD-00066,2023-11-08,Paulo Gomes,paulo.gomes18@exemplo.test,36.50,Osasco
PD-00067,2024-03-26,Vinícius Nogueira,vinicius.nogueira43@exemplo.test,372.55,Jundiaí
PD-00068,2023-07-25,Vinícius Esteves,vinicius.esteves78@exemplo.test,520.40,Campinas
PD-00069,2024-05-17,Mariana Lacerda,nao-informado@aurora.invalid,619.31,Osasco
PD-00070,2024-01-09,Mariana Iglesias,mariana.iglesias51@exemplo.test,146.72,Campinas
PD-00071,2023-01-28,Tatiane Ferraz,tatiane.ferraz71@exemplo.test,774.59,Jundiaí
PD-00072,2023-03-12,Gabriela Queiroz,gabriela.queiroz89@exemplo.test,868.52,Jundiaí
PD-00073,2023-09-16,Paulo Esteves,paulo.esteves31@exemplo.test,704.19,Jundiaí
PD-00074,2024-05-05,Nicolas Nogueira,nao-informado@aurora.invalid,626.51,Sorocaba
PD-00075,2024-07-03,Renata Pacheco,renata.pacheco47@exemplo.test,638.81,São Paulo
PD-00076,2023-06-20,Diego Hirata,diego.hirata46@exemplo.test,692.78,São Paulo
PD-00077,2024-03-16,Tatiane Nogueira,tatiane.nogueira43@exemplo.test,138.01,São Paulo
PD-00078,2024-07-25,Isabela Hirata,isabela.hirata67@exemplo.test,624.88,Sorocaba
PD-00079,2024-05-27,Heitor Queiroz,heitor.queiroz60@exemplo.test,184.44,São Paulo
PD-00080,2023-03-29,Paulo Duarte,nao-informado@aurora.invalid,148.93,Campinas
